Date,Start,Visitor,PTS,Home,PTS,OverTime,Winner,Date
19/10/22,8:00p,8,122,21,130,OT,21,1
19/10/22,10:30p,14,102,28,112,,28,1
19/10/23,7:00p,13,125,15,126,,15,2
19/10/23,7:00p,23,119,19,110,,23,2
19/10/23,7:00p,7,85,22,94,,22,2
19/10/23,7:30p,9,127,3,126,OT,9,2
19/10/23,7:30p,4,101,5,120,,5,2
19/10/23,7:30p,18,93,0,107,,0,2
19/10/23,8:30p,27,100,12,108,,12,2
19/10/23,8:30p,16,111,25,120,,25,2
19/10/23,9:00p,1,95,10,100,,10,2
19/10/23,10:00p,17,95,24,124,,24,2
19/10/23,10:00p,11,108,29,100,,11,2
19/10/24,7:00p,6,117,23,100,,6,3
19/10/24,8:00p,2,117,26,111,,2,3
19/10/24,10:30p,28,141,20,122,,28,3
19/10/25,7:00p,21,106,18,112,,18,4
19/10/25,7:00p,9,121,15,99,,9,4
19/10/25,7:30p,16,109,3,113,,3,4
19/10/25,8:00p,13,110,4,102,,13,4
19/10/25,8:00p,12,123,8,116,,12,4
19/10/25,8:00p,27,97,1,85,,27,4
19/10/25,9:00p,24,107,11,108,OT,11,4
19/10/25,10:00p,29,122,17,112,,29,4
19/10/25,10:30p,10,86,14,95,,14,4
19/10/26,5:00p,5,131,2,126,OT,5,5
19/10/26,7:00p,0,117,23,111,,0,5
19/10/26,7:30p,22,99,6,103,,6,5
19/10/26,7:30p,18,118,16,95,,18,5
19/10/26,8:00p,21,108,13,84,,21,5
19/10/26,8:00p,19,99,7,110,,7,5
19/10/26,8:00p,8,123,26,126,,26,5
19/10/26,8:30p,27,122,25,124,,25,5
19/10/26,9:00p,17,81,10,113,,10,5
19/10/26,10:00p,28,122,24,130,,24,5
19/10/27,3:30p,20,92,1,120,,1,6
19/10/27,6:00p,3,133,4,134,OT,4,6
19/10/27,7:00p,29,121,12,119,,29,6
19/10/27,7:00p,5,109,9,116,,9,6
19/10/27,9:30p,15,101,14,120,,14,6
19/10/28,7:00p,13,98,16,105,,16,7
19/10/28,7:00p,19,94,23,96,,23,7
19/10/28,7:30p,22,95,21,104,,21,7
19/10/28,7:30p,0,105,6,103,,0,7
19/10/28,8:00p,1,112,26,116,,26,7
19/10/28,8:00p,7,112,2,129,,2,7
19/10/28,8:00p,20,134,8,123,,20,7
19/10/28,8:30p,29,110,25,113,,25,7
19/10/28,10:00p,10,96,24,95,,10,7
19/10/28,10:00p,11,101,17,94,,11,7
19/10/28,10:30p,15,96,28,111,,28,7
19/10/29,7:30p,6,97,5,112,,5,8
19/10/29,9:00p,12,109,11,106,,12,8
19/10/29,10:30p,4,91,14,120,,14,8
19/10/30,7:00p,13,111,7,117,,7,9
19/10/30,7:00p,16,83,22,95,,22,9
19/10/30,7:00p,9,95,0,117,,0,9
19/10/30,7:30p,2,105,18,116,,18,9
19/10/30,7:30p,19,118,3,108,,19,9
19/10/30,7:30p,23,113,21,125,,21,9
19/10/30,8:00p,29,102,1,99,,29,9
19/10/30,8:00p,26,159,27,158,,26,9
19/10/30,10:00p,15,118,17,111,,15,9
19/10/30,10:00p,28,96,10,110,,10,9
19/10/30,10:30p,24,121,20,110,,24,9
19/10/31,7:00p,5,106,6,97,,5,10
19/10/31,9:30p,11,107,8,122,,8,10
19/10/31,10:30p,25,97,28,103,,28,10
19/11/1,7:00p,26,116,3,123,,3,11
19/11/1,7:00p,7,95,19,102,,19,11
19/11/1,7:00p,2,123,22,91,,2,11
19/11/1,7:30p,16,102,18,104,,18,11
19/11/1,8:00p,23,106,13,112,,13,11
19/11/1,9:30p,14,119,12,110,OT,14,11
19/11/1,10:00p,10,101,17,102,,17,11
19/11/1,10:30p,25,127,20,110,,25,11
19/11/2,5:00p,8,104,1,115,,1,12
19/11/2,7:00p,3,109,23,113,,23,12
19/11/2,7:00p,11,91,22,87,,11,12
19/11/2,8:00p,24,114,4,105,,24,12
19/11/2,8:00p,21,105,2,115,,2,12
19/11/2,8:00p,9,131,27,109,,9,12
19/11/2,8:30p,15,93,20,87,,15,12
19/11/2,10:00p,0,129,29,128,,0,12
19/11/3,5:00p,13,95,19,108,,19,13
19/11/3,6:00p,26,100,5,129,,5,13
19/11/3,6:00p,17,113,16,92,,17,13
19/11/3,7:00p,14,103,25,96,,14,13
19/11/3,7:30p,12,131,7,111,,12,13
19/11/3,9:00p,10,94,28,105,,28,13
19/11/4,7:00p,23,99,27,115,,27,14
19/11/4,7:30p,8,125,3,135,,3,14
19/11/4,8:00p,26,107,4,100,,26,14
19/11/4,8:00p,2,134,9,106,,2,14
19/11/4,9:00p,0,109,24,114,,24,14
19/11/4,10:30p,29,118,20,127,,20,14
19/11/5,7:00p,19,120,15,122,OT,15,15
19/11/5,7:00p,18,119,7,113,,18,15
19/11/5,7:30p,25,100,6,108,,6,15
19/11/5,8:00p,14,118,13,112,,14,15
19/11/5,8:00p,22,94,1,102,,1,15
19/11/5,9:00p,5,89,11,109,,11,15
19/11/6,7:00p,16,102,23,122,,23,16
19/11/6,7:00p,27,106,19,121,,19,16
