GroupNumber,BothWinRate,LatterWinRate,1_AfterWinRate,1_AfterGameCount,2_AfterWinRate,2_AfterGameCount,3_AfterWinRate,3_AfterGameCount,4_AfterWinRate,4_AfterGameCount,5_AfterWinRate,5_AfterGameCount,6_AfterWinRate,6_AfterGameCount,7_AfterWinRate,7_AfterGameCount,8_AfterWinRate,8_AfterGameCount,9_AfterWinRate,9_AfterGameCount,10_AfterWinRate,10_AfterGameCount,B2BGameCount,VisitorWinRate,TotalWinRate
15,0.375,0.25,0.5,4,0.5,8,0.6363636363636364,11,0.5714285714285714,14,0.5882352941176471,17,0.5263157894736842,19,0.5714285714285714,21,0.5652173913043478,23,0.56,25,0.5925925925925926,27,8,0.34146341463414637,0.34146341463414637
16,0.0,0.0,0.3333333333333333,3,0.16666666666666666,6,0.1111111111111111,9,0.08333333333333333,12,0.06666666666666667,15,0.1111111111111111,18,0.14285714285714285,21,0.125,24,0.1111111111111111,27,0.1,30,6,0.1951219512195122,0.1951219512195122
17,0.35714285714285715,0.14285714285714285,0.7142857142857143,7,0.6428571428571429,14,0.5714285714285714,21,0.5714285714285714,28,0.5294117647058824,34,0.5384615384615384,39,0.5227272727272727,44,0.5208333333333334,48,0.5,50,0.5,52,14,0.36585365853658536,0.36585365853658536
18,0.625,0.25,0.5,4,0.625,8,0.75,12,0.75,16,0.7,20,0.625,24,0.6071428571428571,28,0.6129032258064516,31,0.6060606060606061,33,0.6,35,8,0.5121951219512195,0.5121951219512195
19,0.375,0.125,0.5,4,0.625,8,0.5833333333333334,12,0.625,16,0.65,20,0.7083333333333334,24,0.6785714285714286,28,0.65625,32,0.6388888888888888,36,0.6153846153846154,39,8,0.4634146341463415,0.4634146341463415
20,0.4,0.2,0.75,4,0.625,8,0.75,12,0.6875,16,0.65,20,0.625,24,0.6428571428571429,28,0.6451612903225806,31,0.6470588235294118,34,0.6666666666666666,36,10,0.6585365853658537,0.6585365853658537
21,0.8,0.4,0.8,5,0.6666666666666666,9,0.6923076923076923,13,0.7058823529411765,17,0.6190476190476191,21,0.5833333333333334,24,0.5925925925925926,27,0.6,30,0.6060606060606061,33,0.6111111111111112,36,10,0.6341463414634146,0.6341463414634146
22,0.5,0.1,0.4,5,0.7,10,0.6666666666666666,15,0.55,20,0.48,25,0.5,30,0.5588235294117647,34,0.5675675675675675,37,0.55,40,0.5348837209302325,43,10,0.4146341463414634,0.4146341463414634
23,0.3,0.2,0.4,5,0.3,10,0.4666666666666667,15,0.5263157894736842,19,0.4782608695652174,23,0.48148148148148145,27,0.5161290322580645,31,0.4857142857142857,35,0.48717948717948717,39,0.5238095238095238,42,10,0.36585365853658536,0.36585365853658536
24,0.2,0.2,0.2,5,0.1,10,0.14285714285714285,14,0.1111111111111111,18,0.09090909090909091,22,0.07692307692307693,26,0.1,30,0.14705882352941177,34,0.15789473684210525,38,0.16666666666666666,42,10,0.17073170731707318,0.17073170731707318
25,0.16666666666666666,0.08333333333333333,0.8333333333333334,6,0.75,12,0.6666666666666666,18,0.7083333333333334,24,0.6428571428571429,28,0.6774193548387096,31,0.6764705882352942,34,0.6756756756756757,37,0.675,40,0.6744186046511628,43,12,0.3902439024390244,0.3902439024390244
26,0.5833333333333334,0.25,0.6666666666666666,6,0.5833333333333334,12,0.4444444444444444,18,0.5652173913043478,23,0.5555555555555556,27,0.5483870967741935,31,0.5588235294117647,34,0.5945945945945946,37,0.6,40,0.6190476190476191,42,12,0.5365853658536586,0.5365853658536586
27,0.25,0.25,0.75,4,0.75,8,0.5,12,0.4375,16,0.45,20,0.4166666666666667,24,0.4074074074074074,27,0.43333333333333335,30,0.3939393939393939,33,0.4,35,8,0.24390243902439024,0.24390243902439024
28,0.5,0.3,0.8,5,0.6,10,0.6666666666666666,15,0.6,20,0.6,25,0.6071428571428571,28,0.5806451612903226,31,0.6060606060606061,33,0.6,35,0.5945945945945946,37,10,0.5365853658536586,0.5365853658536586
29,0.375,0.0625,0.875,8,0.8125,16,0.8333333333333334,24,0.7741935483870968,31,0.7894736842105263,38,0.7333333333333333,45,0.7346938775510204,49,0.6981132075471698,53,0.6842105263157895,57,0.7,60,16,0.5121951219512195,0.5121951219512195
