GroupNumber,WinRate_1,WinRate_2,WinRate_3,WinRate_8,WinRate_9,WinRate_10
0,0.7272727272727273,0.5555555555555556,0.5384615384615384,-1.0,1.0,-1.0
1,0.5454545454545454,0.6595744680851063,0.5,1.0,-1.0,-1.0
2,0.8181818181818182,0.7346938775510204,0.7142857142857143,1.0,-1.0,-1.0
3,0.2,0.6086956521739131,0.36363636363636365,0.0,-1.0,-1.0
4,0.6363636363636364,0.4583333333333333,0.5555555555555556,0.0,-1.0,-1.0
5,0.5,0.5555555555555556,0.7777777777777778,0.0,-1.0,-1.0
6,0.16666666666666666,0.2826086956521739,0.5,1.0,-1.0,-1.0
7,0.3333333333333333,0.23684210526315788,0.5,-1.0,1.0,-1.0
8,0.6,0.32608695652173914,0.7272727272727273,1.0,-1.0,-1.0
9,0.3333333333333333,0.2558139534883721,0.5714285714285714,-1.0,0.0,-1.0
10,0.5555555555555556,0.5833333333333334,0.8,-1.0,0.0,-1.0
11,0.7272727272727273,0.6222222222222222,0.6923076923076923,-1.0,0.0,-1.0
12,0.5384615384615384,0.5714285714285714,0.5714285714285714,-1.0,1.0,-1.0
13,0.7777777777777778,0.24444444444444444,0.5,-1.0,0.0,-1.0
14,0.8888888888888888,0.7045454545454546,0.7857142857142857,-1.0,1.0,-1.0
15,0.2727272727272727,0.35714285714285715,0.4,1.0,-1.0,-1.0
16,0.2,0.35714285714285715,0.2727272727272727,-1.0,0.0,-1.0
17,0.45454545454545453,0.4444444444444444,0.2727272727272727,1.0,-1.0,-1.0
18,0.6,0.6666666666666666,0.75,1.0,-1.0,-1.0
19,0.4444444444444444,0.6538461538461539,0.5714285714285714,-1.0,1.0,-1.0
20,0.14285714285714285,0.2826086956521739,0.1111111111111111,0.0,-1.0,-1.0
21,0.7272727272727273,0.7954545454545454,0.5,-1.0,1.0,-1.0
22,0.09090909090909091,0.5208333333333334,0.4444444444444444,-1.0,0.0,-1.0
23,0.09090909090909091,0.35,0.3333333333333333,0.0,-1.0,-1.0
24,0.4166666666666667,0.4888888888888889,0.45454545454545453,-1.0,0.0,-1.0
25,0.5555555555555556,0.3829787234042553,0.5454545454545454,-1.0,-1.0,1.0
26,0.3,0.6521739130434783,0.6666666666666666,-1.0,1.0,-1.0
27,0.4,0.3673469387755102,0.3333333333333333,-1.0,0.0,-1.0
28,0.5454545454545454,0.7906976744186046,0.5,-1.0,0.0,-1.0
29,0.3333333333333333,0.5306122448979592,0.4444444444444444,-1.0,0.0,-1.0
