Date,Start,Visitor,PTS,Home,PTS,OverTime,Winner,Date
18/11/3,10:00p,14,114,29,110,,14,19
18/11/4,3:30p,17,109,2,144,,2,20
18/11/4,6:00p,0,97,3,122,,3,20
18/11/4,6:00p,16,95,27,108,,27,20
18/11/4,7:00p,22,117,25,110,,22,20
18/11/4,8:00p,4,100,24,102,,24,20
18/11/4,9:00p,9,81,29,111,,29,20
18/11/4,9:30p,21,121,14,107,,21,20
18/11/5,7:00p,5,120,23,115,OT,5,21
18/11/5,7:00p,26,98,19,94,,26,21
18/11/5,7:00p,7,100,22,102,,22,21
18/11/5,7:30p,13,116,16,115,2OT,13,21
18/11/5,8:00p,8,116,1,122,,1,21
18/11/5,9:00p,18,107,11,115,,11,21
18/11/5,9:00p,21,124,10,111,,21,21
18/11/5,10:30p,4,101,20,117,,20,21
18/11/5,10:30p,9,109,28,120,,28,21
18/11/6,7:00p,6,102,15,113,,15,22
18/11/6,8:30p,27,100,12,119,,12,22
18/11/6,9:00p,3,104,24,82,,3,22
18/11/6,10:00p,2,103,29,118,,29,22
18/11/7,7:00p,1,95,7,86,,1,23
18/11/7,7:00p,23,103,22,96,,23,23
18/11/7,7:30p,16,112,6,107,,16,23
18/11/7,7:30p,25,88,5,95,,5,23
18/11/7,8:00p,0,100,19,94,,0,23
18/11/7,8:00p,11,87,4,89,,4,23
18/11/7,8:00p,13,98,8,107,,8,23
18/11/7,9:00p,12,102,10,117,,10,23
18/11/7,10:00p,21,114,17,105,,21,23
18/11/7,10:30p,9,110,14,114,,14,23
18/11/8,8:00p,26,80,1,98,,1,24
18/11/8,9:00p,18,116,24,109,OT,18,24
18/11/8,10:00p,28,105,29,116,,29,24
18/11/8,10:30p,2,134,20,111,,2,24
18/11/9,7:00p,27,108,22,117,,22,25
18/11/9,7:00p,15,132,0,133,OT,0,25
18/11/9,7:30p,23,124,6,109,,23,25
18/11/9,8:00p,19,110,5,102,,19,25
18/11/9,9:00p,3,112,11,110,,3,25
18/11/9,9:30p,18,115,10,123,,10,25
18/11/9,10:00p,9,110,17,121,,17,25
18/11/10,3:00p,16,112,21,128,,21,26
18/11/10,3:30p,2,126,28,128,OT,28,26
18/11/10,7:00p,24,99,8,119,,8,26
18/11/10,8:00p,7,98,13,99,,13,26
18/11/10,8:00p,0,106,4,112,OT,4,26
18/11/10,8:00p,27,116,5,110,,27,26
18/11/10,8:30p,3,100,20,116,,20,26
18/11/10,8:30p,26,89,25,96,,25,26
18/11/10,9:00p,1,96,12,111,,12,26
18/11/10,10:00p,14,101,17,86,,14,26
18/11/11,3:30p,15,113,23,103,,15,27
18/11/11,7:00p,19,103,26,115,,26,27
18/11/11,7:30p,22,115,16,89,,22,27
18/11/11,8:00p,2,121,11,114,,2,27
18/11/11,9:00p,18,94,29,100,,29,27
18/11/11,9:30p,6,106,14,107,,14,27
18/11/12,7:00p,22,109,27,117,,27,28
18/11/12,7:30p,0,124,5,114,,0,28
18/11/12,7:30p,8,126,21,110,,8,28
18/11/12,8:00p,12,103,13,98,,12,28
18/11/12,8:00p,10,96,4,88,,10,28
18/11/12,8:00p,3,113,9,120,,9,28
18/11/12,8:00p,24,101,1,118,,1,28
18/11/12,10:00p,25,99,17,104,,17,28
18/11/12,10:30p,20,116,28,121,OT,28,28
18/11/13,7:00p,15,89,7,113,,7,29
18/11/13,9:00p,26,109,11,99,,26,29
18/11/13,10:30p,6,103,20,110,,20,29
18/11/14,7:00p,0,106,22,111,,22,30
18/11/14,7:00p,7,95,27,119,,27,30
18/11/14,7:30p,13,82,18,111,,18,30
18/11/14,7:30p,5,120,3,107,,5,30
18/11/14,7:30p,23,106,21,104,,23,30
18/11/14,8:00p,4,116,2,113,,4,30
18/11/14,8:00p,8,100,9,107,,9,30
18/11/14,8:00p,16,103,1,128,,1,30
18/11/14,8:30p,10,68,12,118,,12,30
18/11/14,9:00p,25,96,24,116,,24,30
18/11/14,10:30p,29,117,14,126,,14,30
18/11/15,8:00p,20,86,26,107,,26,31
18/11/15,9:00p,6,93,11,138,,11,31
18/11/15,10:30p,25,111,28,116,,28,31
18/11/16,7:00p,21,116,18,123,OT,18,32
18/11/16,7:00p,5,91,19,99,,19,32
18/11/16,7:00p,10,107,0,113,,0,32
18/11/16,7:00p,3,115,27,104,,3,32
18/11/16,8:00p,17,104,4,112,,4,32
18/11/16,8:00p,29,96,9,112,,9,32
18/11/16,8:00p,16,124,8,129,,8,32
18/11/16,9:30p,13,104,2,123,,2,32
18/11/17,6:00p,28,127,3,119,,28,33
18/11/17,7:00p,0,122,15,119,OT,0,33
18/11/17,7:00p,6,89,19,97,,19,33
18/11/17,7:00p,11,115,8,125,,8,33
18/11/17,7:00p,14,117,22,130,,22,33
18/11/17,7:30p,10,98,18,86,,10,33
18/11/17,8:00p,21,122,13,83,,21,33
18/11/17,8:00p,17,112,26,132,,26,33
18/11/17,8:30p,20,109,12,112,,12,33
18/11/17,9:00p,1,110,24,100,,1,33
18/11/18,3:30p,4,100,9,87,,4,34
18/11/18,6:00p,14,113,5,97,,14,34
18/11/18,6:00p,16,117,22,131,,22,34
18/11/18,6:00p,29,119,27,109,,29,34
18/11/18,7:00p,20,92,25,104,,25,34
18/11/19,7:00p,18,112,15,117,,15,35
18/11/19,7:00p,7,102,23,113,,23,35
18/11/19,7:00p,10,94,19,121,,19,35
18/11/19,7:00p,24,114,0,119,,0,35
18/11/19,7:30p,28,127,6,119,,28,35
18/11/19,8:00p,12,88,4,98,,4,35
18/11/19,8:00p,11,98,2,104,,2,35
18/11/19,8:00p,25,126,8,140,,8,35
18/11/19,10:00p,1,113,17,117,,17,35
18/11/20,7:00p,21,93,22,91,,21,36
18/11/20,7:00p,28,118,27,125,,27,36
18/11/20,7:30p,3,104,5,92,,3,36
18/11/20,7:30p,29,118,16,114,,29,36
18/11/21,7:00p,19,109,15,127,,15,37
18/11/21,7:00p,8,120,0,121,,0,37
18/11/21,7:30p,21,124,6,108,,21,37
18/11/21,7:30p,16,117,18,109,,16,37
18/11/21,8:00p,24,116,13,124,,13,37
18/11/21,8:00p,14,109,7,105,,14,37
18/11/21,8:00p,23,124,26,126,,26,37
18/11/21,8:00p,29,100,2,143,,2,37
18/11/21,8:00p,11,103,9,101,,11,37
18/11/21,8:30p,3,113,12,119,,12,37
18/11/21,8:30p,4,104,25,103,,4,37
18/11/21,9:00p,17,119,10,110,,17,37
18/11/21,10:30p,1,123,20,95,,1,37
18/11/23,12:00p,9,112,3,102,,9,39
18/11/23,3:30p,4,107,28,112,OT,28,39
18/11/23,7:00p,26,111,23,116,OT,23,39
18/11/23,7:30p,18,114,6,96,,18,39
18/11/23,7:30p,8,109,16,114,,16,39
18/11/23,7:30p,7,121,0,112,,7,39
18/11/23,7:30p,27,107,21,125,,21,39
18/11/23,8:00p,5,103,13,96,,5,39
18/11/23,8:00p,25,111,19,100,,25,39
18/11/23,8:00p,15,104,1,109,,1,39
18/11/23,8:30p,24,116,2,114,,24,39
18/11/23,9:00p,22,87,11,112,,11,39
18/11/23,10:30p,29,97,20,125,,20,39
18/11/23,10:30p,10,83,14,90,,14,39
18/11/24,7:30p,26,108,7,117,,7,40
18/11/24,8:00p,13,96,9,111,,9,40
18/11/24,8:00p,11,105,1,98,,11,40
18/11/24,8:00p,8,114,27,124,,27,40
18/11/24,8:30p,18,104,12,113,,12,40
18/11/24,8:30p,17,116,20,117,,20,40
18/11/24,8:30p,25,129,2,135,,2,40
18/11/25,3:30p,22,108,14,104,,22,41
18/11/25,4:00p,24,107,23,118,,23,41
18/11/25,6:00p,15,123,6,124,,6,41
18/11/25,6:00p,0,127,3,125,,0,41
18/11/25,6:00p,16,103,4,98,,16,41
18/11/25,6:00p,5,115,21,125,,21,41
18/11/25,8:00p,10,133,17,112,,10,41
18/11/25,9:00p,28,104,29,100,,28,41
18/11/26,7:00p,2,107,15,110,,15,42
18/11/26,7:00p,9,102,7,95,,9,42
18/11/26,7:00p,26,131,27,135,OT,27,42
18/11/26,8:00p,25,108,13,107,,25,42
18/11/26,8:00p,18,124,8,107,,18,42
18/11/26,9:00p,19,121,10,88,,19,42
18/11/26,10:30p,22,110,20,116,,20,42
18/11/27,7:00p,16,108,23,115,,23,43
18/11/27,7:30p,6,115,5,113,,6,43
18/11/27,8:00p,21,122,4,114,,21,43
18/11/27,9:00p,14,85,11,117,,11,43
18/11/27,9:00p,19,109,24,104,,19,43
18/11/28,7:00p,6,94,15,108,,15,44
18/11/28,7:00p,16,91,0,117,,0,44
18/11/28,7:30p,10,101,3,91,,10,44
18/11/28,8:00p,12,128,26,108,,12,44
18/11/28,8:00p,13,113,2,116,,2,44
18/11/28,8:00p,25,89,9,128,,9,44
18/11/28,8:00p,27,104,8,125,,8,44
18/11/28,8:00p,7,83,1,100,,1,44
18/11/28,10:00p,22,112,29,115,,29,44
18/11/28,10:30p,24,99,28,115,,28,44
18/11/29,8:00p,20,128,21,131,OT,21,45
18/11/29,10:30p,19,96,14,104,,14,45
18/11/29,10:30p,28,133,17,121,,28,45
18/11/30,7:00p,7,95,18,128,,18,46
18/11/30,7:00p,10,119,15,111,,10,46
18/11/30,7:00p,13,88,23,107,,23,46
18/11/30,7:00p,27,98,0,123,,0,46
18/11/30,7:30p,4,131,3,125,2OT,4,46
18/11/30,8:00p,8,101,5,106,,5,46
18/11/30,8:00p,6,109,1,124,,1,46
18/11/30,8:00p,26,136,25,105,,26,46
18/11/30,9:00p,22,99,24,85,,22,46
18/11/30,10:30p,12,103,14,114,,14,46
18/11/30,10:30p,11,113,29,112,,11,46
18/12/1,5:00p,2,134,16,136,OT,16,47
18/12/1,7:00p,20,102,23,111,,23,47
18/12/1,7:00p,3,88,27,102,,27,47
18/12/1,8:00p,21,106,7,95,,21,47
18/12/1,8:00p,13,105,26,121,,26,47
18/12/1,8:00p,18,118,9,109,,18,47
18/12/1,10:00p,19,110,17,111,,17,47
18/12/2,3:30p,24,96,14,120,,14,48
18/12/2,5:00p,8,119,15,109,,8,48
18/12/2,6:00p,10,100,5,102,,5,48
18/12/2,6:00p,4,95,0,103,,0,48
18/12/2,7:00p,28,110,12,114,,12,48
18/12/2,7:00p,29,118,25,131,,25,48
18/12/3,7:00p,1,110,23,83,,1,49
18/12/3,7:30p,20,128,6,111,,20,49
18/12/3,7:30p,7,99,3,97,,7,49
18/12/3,7:30p,27,110,16,107,,27,49
18/12/3,7:30p,11,106,21,103,,11,49
18/12/3,8:00p,26,91,9,103,,9,49
18/12/3,8:00p,28,129,8,126,,28,49
18/12/4,7:00p,13,90,19,96,,19,50
